threshold,recall,cost
0.01,0.9966442953020134,423285700
0.02,0.9966442953020134,420285350
0.03,0.9966442953020134,418349150
0.04,0.9966442953020134,414170300
0.05,0.9892617449664429,406077200
0.06,0.9812080536912752,394710400
0.07,0.978523489932886,389135800
0.08,0.9751677852348993,382910600
0.09,0.9630872483221476,376060300
0.1,0.9570469798657718,364568650
0.11,0.9442953020134228,352814900
0.12,0.9429530201342282,337579750
0.13,0.9315436241610738,323405850
0.14,0.9120805369127517,303516400
0.15,0.897986577181208,283628500
0.16,0.887248322147651,265175050
0.17,0.8718120805369127,248011150
0.18,0.8577181208053691,226058550
0.19,0.8409395973154362,209027800
0.2,0.8221476510067114,190198000
0.21,0.8134228187919463,175665600
0.22,0.7939597315436242,160795350
0.23,0.7738255033557047,149308200
0.24,0.7536912751677852,139824800
0.25,0.7496644295302013,130979350
0.26,0.7442953020134229,123439400
0.27,0.738255033557047,117439100
0.28,0.7302013422818792,110990450
0.29,0.7241610738255033,105695450
0.3,0.7194630872483222,100357000
0.31,0.7174496644295302,95399600
0.32,0.7053691275167785,90779500
0.33,0.697986577181208,87037850
0.34,0.6885906040268457,84199200
0.35000000000000003,0.6791946308724832,79840600
0.36,0.6758389261744966,76488600
0.37,0.6630872483221476,73357000
0.38,0.6597315436241611,71319350
0.39,0.6510067114093959,68291000
0.4,0.6429530201342282,65013000
0.41000000000000003,0.6355704697986577,62225200
0.42,0.6308724832214765,58560550
0.43,0.6221476510067114,56348450
0.44,0.6154362416107383,53897050
0.45,0.6046979865771812,51871750
0.46,0.5899328859060403,49437000
0.47000000000000003,0.5845637583892618,47224350
0.48,0.5805369127516778,45277200
0.49,0.5771812080536913,43605150
0.5,0.565771812080537,40580300
0.51,0.5577181208053691,38957850
0.52,0.553020134228188,36788150
0.53,0.5476510067114094,33873150
0.54,0.5389261744966443,31251550
0.55,0.5328859060402684,28189300
0.56,0.5228187919463088,26199900
0.5700000000000001,0.5134228187919463,24806850
0.58,0.5026845637583892,22756200
0.59,0.49395973154362416,21623550
0.6,0.4899328859060403,20724100
0.61,0.48389261744966444,19668450
0.62,0.48389261744966444,18849650
0.63,0.4818791946308725,18440950
0.64,0.4812080536912752,17538250
0.65,0.4798657718120805,17152600
0.66,0.4791946308724832,16285100
0.67,0.47516778523489933,15889900
0.68,0.47516778523489933,15177050
0.6900000000000001,0.47248322147651006,14819950
0.7000000000000001,0.4691275167785235,14467900
0.71,0.46241610738255035,14209600
0.72,0.4597315436241611,13947300
0.73,0.45436241610738254,13637500
0.74,0.45033557046979866,13381950
0.75,0.44563758389261743,13156500
0.76,0.44161073825503355,12875400
0.77,0.4355704697986577,12503900
0.78,0.42885906040268457,12217800
0.79,0.42080536912751676,11925550
0.8,0.4134228187919463,11683500
0.81,0.40604026845637586,11337400
0.8200000000000001,0.40268456375838924,10966950
0.8300000000000001,0.39731543624161075,10694000
0.84,0.3912751677852349,10323350
0.85,0.38791946308724834,10014650
0.86,0.3865771812080537,9648600
0.87,0.3738255033557047,9347200
0.88,0.3644295302013423,9035900
0.89,0.3516778523489933,8735850
0.9,0.3422818791946309,8369650
0.91,0.32483221476510066,7911800
0.92,0.3040268456375839,7541300
0.93,0.28187919463087246,7289050
0.9400000000000001,0.2523489932885906,7084900
0.9500000000000001,0.23221476510067113,6902400
0.96,0.21140939597315436,6832500
0.97,0.18120805369127516,6813000
0.98,0.12550335570469798,6892850
0.99,0.0691275167785235,7104950
