serial_number,model,date,failure_probability,actual_failure_7d
ZHZ4Q6N2,ST12000NM0008,2020-06-12,0.9995018,1
ZCH06RWZ,ST12000NM0007,2020-06-30,0.99942017,0
ZJV5M87J,ST12000NM0007,2020-05-05,0.99868613,1
ZCH07B4X,ST12000NM0007,2020-06-30,0.99814487,0
ZA14EBBG,ST8000NM0055,2020-06-29,0.997964,1
ZCH09N56,ST12000NM0007,2020-06-30,0.99725854,0
X7ERT51RT,TOSHIBA MQ01ABF050M,2020-06-30,0.9971602,0
ZA12EZMP,ST8000DM002,2020-06-08,0.99704415,1
ZCH0AGJ7,ST12000NM0007,2020-06-30,0.99679655,0
57HBWEEGT,TOSHIBA MQ01ABF050,2020-06-30,0.99654406,0
ZJV03P2N,ST12000NM0007,2020-06-05,0.9965155,1
176FT01XT,TOSHIBA MQ01ABF050M,2020-06-30,0.99635327,0
ZA1087QH,ST8000DM002,2020-06-30,0.99623483,0
ZJV0069L,ST12000NM0007,2020-06-30,0.99596965,0
96HCTBI5T,TOSHIBA MQ01ABF050,2020-06-30,0.995948,0
ZA11XNYF,ST8000DM002,2020-06-30,0.9958876,0
87DFWOFPT,TOSHIBA MQ01ABF050,2020-06-30,0.99581736,0
96ICTBQPT,TOSHIBA MQ01ABF050,2020-06-30,0.99580365,0
ZA12RB44,ST8000DM002,2020-06-30,0.99574125,0
ZA171VEV,ST8000NM0055,2020-06-30,0.99571025,0
ZJV3CJ60,ST12000NM0007,2020-06-30,0.9957047,0
ZJV2DYDS,ST12000NM0007,2020-06-30,0.99568695,0
57HBWEECT,TOSHIBA MQ01ABF050,2020-06-30,0.99567103,0
17OYTGKJT,TOSHIBA MQ01ABF050,2020-06-30,0.9955422,0
17OYTGKDT,TOSHIBA MQ01ABF050,2020-06-30,0.9955422,0
ZJV5JNT7,ST12000NM0007,2020-05-02,0.99536055,1
ZHZ4ESJ6,ST12000NM0008,2020-06-30,0.9953399,0
57HBWEF8T,TOSHIBA MQ01ABF050,2020-06-04,0.99510765,1
ZJV006CZ,ST12000NM0007,2020-06-30,0.9950713,0
ZJV2E8LZ,ST12000NM0007,2020-06-30,0.9949325,0
8CGKZNXG,HGST HUH721212ALE600,2020-06-30,0.9948933,0
8CGJNH8G,HGST HUH721212ALE600,2020-06-30,0.9948933,0
ZJV005J6,ST12000NM0007,2020-06-30,0.99480575,0
ZA214BT1,ST10000NM0086,2020-06-30,0.9947601,0
ZCH06NKQ,ST12000NM0007,2020-06-30,0.99471647,0
ZJV0WCSL,ST12000NM0007,2020-05-14,0.99464273,1
ZCH08038,ST12000NM0007,2020-05-14,0.9945845,1
57GGPDAGT,TOSHIBA MQ01ABF050,2020-05-11,0.99454087,1
ZJV03L1D,ST12000NM0007,2020-06-01,0.9945182,1
